Event Type,Event Tag Group,Event Tag,Communication Type,Message Name / Purpose,Timing (Relative to Event),Channel,Notes / Content Summary
Student Band Show,[MSH],[STUDENT BAND],Email,Reminder with Sign-Up Link,-30,Email,Include registration link for performers
Student Band Show,[MSH],[STUDENT BAND],Email,Performance Schedule,-20,Email,Include 'Last chance to register!'
Student Band Show,[MSH],[STUDENT BAND],Email,Final Reminder,-7,Email,Include full performance schedule
Student Band Show,[MSH],[STUDENT BAND],Social Media,Initial Poster Post,-30,Instagram Post,Save the date' style post + repost to story as event nears
Student Band Show,[MSH],[STUDENT BAND],Social Media,Recap Post,1,Instagram Post,"Photos of all bands, tag band leaders & families"
Studio Jam Night,[MSH],[JAM NIGHT],Email,,-14,,
Studio Open House,[MSH],[OPEN HOUSE],Email,,-14,,
Studio Party,[MSH],[PARTY],Email,Save the Date,-60,Email,Get an idea of how many people can make it/are interested
Studio Party,[MSH],[PARTY],Email,Reminder and RSVP,-32,Email,Get actual list of people attending with confirmation
Studio Party,[MSH],[PARTY],Email,2nd Reminder and RSVP,-14,Email,Get actual list of people attending with confirmation
Studio Party,[MSH],[PARTY],Email,3rd Reminder and RSVP,-7,Email,Get actual list of people attending with confirmation
Studio Party,[MSH],[PARTY],Social Media,Recap Post,1,Instagram Post,
Holiday Closure,[CAL],,Email,Closure Reminder,-7,Email,Closure Reminder
Holiday,[CAL],,Social Media,Holiday Post,-2,Instagram Post,"Post written, Image and copy sent in an email to Justin"
Rockin' Toddlers,[MSH],[RT],Social Media,Class announcement,-60,Instagram Post,
Rockin' Toddlers,[MSH],[RT],Email,Class announcement,-60,Email to Past Clients,
Rockin' Toddlers,[MSH],[RT],Email,Sign Up Reminder,-30,Email to Past Clients,
Rockin' Toddlers,[MSH],[RT],Social Media,Sign Up Reminder,-30,Instagram Story,
Rockin' Toddlers,[MSH],[RT],Social Media,Class Start Note to Parents,-5,Email to Enrolled Students,
Rockin' Toddlers,[MSH],[RT],Social Media,Midway Through Class Email,21,Email to Enrolled Students,
Rockin' Toddlers,[MSH],[RT],Website,Update Website with New Times,21,Website,
Rockin' Toddlers,[MSH],[RT],Social Media,Class End thank you,42,Email to Enrolled Students,
Chamber Ensemble,[MSH],[CE],Social Media,Ensemble Announcement,-60,Instagram Post,
Chamber Ensemble,[MSH],[CE],Email,Class announcement,-60,Email to Past Clients,
Chamber Ensemble,[MSH],[CE],Email,Sign Up Reminder,-30,Email to Past Clients,
Chamber Ensemble,[MSH],[CE],Social Media,Sign Up Reminder,-30,Instagram Story,
Chamber Ensemble,[MSH],[CE],Social Media,Class Start Note to Parents,-5,Email to Enrolled Students,
Chamber Ensemble,[MSH],[CE],Social Media,Midway Through Class Email,21,Email to Enrolled Students,
Chamber Ensemble,[MSH],[CE],Website,Update Website with New Times,21,Website,
Chamber Ensemble,[MSH],[CE],Social Media,Class End thank you,42,Email to Enrolled Students,
Enrichment Club,[MSH],[EC],Social Media,Class announcement,-30,Instagram Post,
Enrichment Club,[MSH],[EC],Social Media,Class announcement,-21,Instagram Story,
Enrichment Club,[MSH],[EC],Email,Welcome email,-7,Email to Enrolled Clients,
Enrichment Club,[MSH],[EC],Email,Midway Through Class Email,21,Email to Enrolled Students,
Enrichment Club,[MSH],[EC],Email,Class End thank you,43,Email to Enrolled Students,
Workshop,[MSH],[WORKSHOP],Email,Workshop Announcement,-21,Email,Include ticket link
Workshop,[MSH],[WORKSHOP],Print,Put up Flyer,-21,Print,Include ticket link
Workshop,[MSH],[WORKSHOP],Social Media,Post,-21,Instagram Post,Include ticket link
Workshop,[MSH],[WORKSHOP],Social Media,Story Post,-21,Instagram Story,Include ticket link
Workshop,[MSH],[WORKSHOP],Social Media,Story Post,-3,Instagram Story,Include ticket link
Workshop,[MSH],[WORKSHOP],Social Media,Story Post - Show is Tonight!,0,Instagram Post,Include ticket link
Workshop,[MSH],[WORKSHOP],Social Media,Recap Reel,1,Instagram Post,Tag performers/hosts
